rec_id_jahr_wk,UUID,jahr,Nr,Gebiet,gehört zu,Kategorie,Name_Kategorie,Erst-Stimmen,Zweit-Stimmen
,2017-00119,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,"Allianz für Menschenrechte, Tier- und Naturschutz",0,0
,2017-00120,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,"bergpartei, die überpartei",0,0
,2017-00121,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Bündnis Grundeinkommen,0,415
,2017-00122,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,DEMOKRATIE IN BEWEGUNG,0,0
,2017-00123,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Deutsche Kommunistische Partei,0,0
,2017-00124,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Deutsche Mitte,0,0
,2017-00125,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Die Grauen – Für alle Generationen,0,0
,2017-00126,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Die Urbane. Eine HipHop Partei,0,0
,2017-00127,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Magdeburger Gartenpartei,0,0
,2017-00128,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Menschliche Welt,0,0
,2017-00129,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Partei der Humanisten,0,0
,2017-00130,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Partei für Gesundheitsforschung,0,0
,2017-00131,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",0,0
,2017-00132,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Bündnis C - Christen für Deutschland,0,0
,2017-00133,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,DIE EINHEIT,0,0
,2017-00134,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Die Violetten,0,0
,2017-00135,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Familien-Partei Deutschlands,0,0
,2017-00136,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Feministische Partei DIE FRAUEN,0,0
,2017-00137,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Mieterpartei,0,0
,2017-00138,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Neue Liberale – Die Sozialliberalen,0,0
,2017-00139,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,UNABHÄNGIGE für bürgernahe Demokratie,0,0
,2017-00140,2017,003,Steinburg – Dithmarschen Süd,BL-01,Organisation,Übrige,0,0
2017-004,2017-00141,2017,004,Rendsburg-Eckernförde,BL-01,Statistik,Wahlberechtigte,200831,200831
,2017-00142,2017,004,Rendsburg-Eckernförde,BL-01,Statistik,Wähler,157354,157354
,2017-00143,2017,004,Rendsburg-Eckernförde,BL-01,Statistik,Ungültige,1252,1087
,2017-00144,2017,004,Rendsburg-Eckernförde,BL-01,Statistik,Gültige,156102,156267
,2017-00145,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Christlich Demokratische Union Deutschlands,66625,56585
,2017-00146,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Sozialdemokratische Partei Deutschlands,45070,35766
,2017-00147,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,DIE LINKE,8074,9962
,2017-00148,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,BÜNDNIS 90/DIE GRÜNEN,13978,19337
,2017-00149,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Christlich-Soziale Union in Bayern e.V.,0,0
,2017-00150,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Freie Demokratische Partei,10077,19071
,2017-00151,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Alternative für Deutschland,10656,11578
,2017-00152,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Piratenpartei Deutschland,0,0
,2017-00153,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Nationaldemokratische Partei Deutschlands,0,307
,2017-00154,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,FREIE WÄHLER,1622,1031
,2017-00155,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,PARTEI MENSCH UMWELT TIERSCHUTZ,0,0
,2017-00156,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Ökologisch-Demokratische Partei,0,0
,2017-00157,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",0,1754
,2017-00158,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Bayernpartei,0,0
,2017-00159,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Ab jetzt...Demokratie durch Volksabstimmung,0,0
,2017-00160,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Partei der Vernunft,0,0
,2017-00161,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Marxistisch-Leninistische Partei Deutschlands,0,55
,2017-00162,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Bürgerrechtsbewegung Solidarität,0,0
,2017-00163,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,"Sozialistische Gleichheitspartei, Vierte Internationale",0,0
,2017-00164,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,DIE RECHTE,0,0
,2017-00165,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Allianz Deutscher Demokraten,0,0
,2017-00166,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,"Allianz für Menschenrechte, Tier- und Naturschutz",0,0
,2017-00167,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,"bergpartei, die überpartei",0,0
,2017-00168,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Bündnis Grundeinkommen,0,584
,2017-00169,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,DEMOKRATIE IN BEWEGUNG,0,0
,2017-00170,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Deutsche Kommunistische Partei,0,0
,2017-00171,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Deutsche Mitte,0,0
,2017-00172,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Die Grauen – Für alle Generationen,0,0
,2017-00173,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Die Urbane. Eine HipHop Partei,0,0
,2017-00174,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Magdeburger Gartenpartei,0,0
,2017-00175,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Menschliche Welt,0,0
,2017-00176,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Partei der Humanisten,0,0
,2017-00177,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Partei für Gesundheitsforschung,0,0
,2017-00178,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",0,0
,2017-00179,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Bündnis C - Christen für Deutschland,0,0
,2017-00180,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,DIE EINHEIT,0,0
,2017-00181,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Die Violetten,0,0
,2017-00182,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Familien-Partei Deutschlands,0,0
,2017-00183,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Feministische Partei DIE FRAUEN,0,0
,2017-00184,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Mieterpartei,0,0
,2017-00185,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Neue Liberale – Die Sozialliberalen,0,0
,2017-00186,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,UNABHÄNGIGE für bürgernahe Demokratie,0,0
,2017-00187,2017,004,Rendsburg-Eckernförde,BL-01,Organisation,Übrige,0,0
2017-005,2017-00188,2017,005,Kiel,BL-01,Statistik,Wahlberechtigte,204650,204650
,2017-00189,2017,005,Kiel,BL-01,Statistik,Wähler,153273,153273
,2017-00190,2017,005,Kiel,BL-01,Statistik,Ungültige,1594,1204
,2017-00191,2017,005,Kiel,BL-01,Statistik,Gültige,151679,152069
,2017-00192,2017,005,Kiel,BL-01,Organisation,Christlich Demokratische Union Deutschlands,46560,40736
,2017-00193,2017,005,Kiel,BL-01,Organisation,Sozialdemokratische Partei Deutschlands,46991,36208
,2017-00194,2017,005,Kiel,BL-01,Organisation,DIE LINKE,11114,15546
,2017-00195,2017,005,Kiel,BL-01,Organisation,BÜNDNIS 90/DIE GRÜNEN,21743,26143
,2017-00196,2017,005,Kiel,BL-01,Organisation,Christlich-Soziale Union in Bayern e.V.,0,0
,2017-00197,2017,005,Kiel,BL-01,Organisation,Freie Demokratische Partei,11363,17804
,2017-00198,2017,005,Kiel,BL-01,Organisation,Alternative für Deutschland,9283,10504
,2017-00199,2017,005,Kiel,BL-01,Organisation,Piratenpartei Deutschland,0,0
,2017-00200,2017,005,Kiel,BL-01,Organisation,Nationaldemokratische Partei Deutschlands,0,250
,2017-00201,2017,005,Kiel,BL-01,Organisation,FREIE WÄHLER,0,540
,2017-00202,2017,005,Kiel,BL-01,Organisation,PARTEI MENSCH UMWELT TIERSCHUTZ,0,0
,2017-00203,2017,005,Kiel,BL-01,Organisation,Ökologisch-Demokratische Partei,0,0
,2017-00204,2017,005,Kiel,BL-01,Organisation,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",4017,3214
,2017-00205,2017,005,Kiel,BL-01,Organisation,Bayernpartei,0,0
,2017-00206,2017,005,Kiel,BL-01,Organisation,Ab jetzt...Demokratie durch Volksabstimmung,0,0
,2017-00207,2017,005,Kiel,BL-01,Organisation,Partei der Vernunft,0,0
,2017-00208,2017,005,Kiel,BL-01,Organisation,Marxistisch-Leninistische Partei Deutschlands,266,147
,2017-00209,2017,005,Kiel,BL-01,Organisation,Bürgerrechtsbewegung Solidarität,0,0
,2017-00210,2017,005,Kiel,BL-01,Organisation,"Sozialistische Gleichheitspartei, Vierte Internationale",0,0
,2017-00211,2017,005,Kiel,BL-01,Organisation,DIE RECHTE,0,0
,2017-00212,2017,005,Kiel,BL-01,Organisation,Allianz Deutscher Demokraten,0,0
,2017-00213,2017,005,Kiel,BL-01,Organisation,"Allianz für Menschenrechte, Tier- und Naturschutz",0,0
,2017-00214,2017,005,Kiel,BL-01,Organisation,"bergpartei, die überpartei",0,0
,2017-00215,2017,005,Kiel,BL-01,Organisation,Bündnis Grundeinkommen,0,632
,2017-00216,2017,005,Kiel,BL-01,Organisation,DEMOKRATIE IN BEWEGUNG,0,0
,2017-00217,2017,005,Kiel,BL-01,Organisation,Deutsche Kommunistische Partei,0,0
,2017-00218,2017,005,Kiel,BL-01,Organisation,Deutsche Mitte,0,0
,2017-00219,2017,005,Kiel,BL-01,Organisation,Die Grauen – Für alle Generationen,0,0
,2017-00220,2017,005,Kiel,BL-01,Organisation,Die Urbane. Eine HipHop Partei,0,0
,2017-00221,2017,005,Kiel,BL-01,Organisation,Magdeburger Gartenpartei,0,0
,2017-00222,2017,005,Kiel,BL-01,Organisation,Menschliche Welt,0,0
,2017-00223,2017,005,Kiel,BL-01,Organisation,Partei der Humanisten,0,0
,2017-00224,2017,005,Kiel,BL-01,Organisation,Partei für Gesundheitsforschung,0,0
,2017-00225,2017,005,Kiel,BL-01,Organisation,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",0,0
,2017-00226,2017,005,Kiel,BL-01,Organisation,Bündnis C - Christen für Deutschland,0,0
,2017-00227,2017,005,Kiel,BL-01,Organisation,DIE EINHEIT,0,0
,2017-00228,2017,005,Kiel,BL-01,Organisation,Die Violetten,0,0
,2017-00229,2017,005,Kiel,BL-01,Organisation,Familien-Partei Deutschlands,0,0
,2017-00230,2017,005,Kiel,BL-01,Organisation,Feministische Partei DIE FRAUEN,0,0
,2017-00231,2017,005,Kiel,BL-01,Organisation,Mieterpartei,0,0
,2017-00232,2017,005,Kiel,BL-01,Organisation,Neue Liberale – Die Sozialliberalen,342,0
,2017-00233,2017,005,Kiel,BL-01,Organisation,UNABHÄNGIGE für bürgernahe Demokratie,0,0
,2017-00234,2017,005,Kiel,BL-01,Organisation,Übrige,0,0
2017-006,2017-00235,2017,006,Plön – Neumünster,BL-01,Statistik,Wahlberechtigte,174937,174937
,2017-00236,2017,006,Plön – Neumünster,BL-01,Statistik,Wähler,131713,131713
,2017-00237,2017,006,Plön – Neumünster,BL-01,Statistik,Ungültige,1224,1199
,2017-00238,2017,006,Plön – Neumünster,BL-01,Statistik,Gültige,130489,130514
,2017-00239,2017,006,Plön – Neumünster,BL-01,Organisation,Christlich Demokratische Union Deutschlands,53109,43778
,2017-00240,2017,006,Plön – Neumünster,BL-01,Organisation,Sozialdemokratische Partei Deutschlands,37728,31013
,2017-00241,2017,006,Plön – Neumünster,BL-01,Organisation,DIE LINKE,7009,8503
,2017-00242,2017,006,Plön – Neumünster,BL-01,Organisation,BÜNDNIS 90/DIE GRÜNEN,11736,16350
,2017-00243,2017,006,Plön – Neumünster,BL-01,Organisation,Christlich-Soziale Union in Bayern e.V.,0,0
,2017-00244,2017,006,Plön – Neumünster,BL-01,Organisation,Freie Demokratische Partei,9379,16481
,2017-00245,2017,006,Plön – Neumünster,BL-01,Organisation,Alternative für Deutschland,10223,11161
,2017-00246,2017,006,Plön – Neumünster,BL-01,Organisation,Piratenpartei Deutschland,0,0
,2017-00247,2017,006,Plön – Neumünster,BL-01,Organisation,Nationaldemokratische Partei Deutschlands,0,479
,2017-00248,2017,006,Plön – Neumünster,BL-01,Organisation,FREIE WÄHLER,1305,749
,2017-00249,2017,006,Plön – Neumünster,BL-01,Organisation,PARTEI MENSCH UMWELT TIERSCHUTZ,0,0
