UUID;Jahr;Wahlkreis-Nr;Gebiet;Bundesland;Kategorie;Parteiname;Erst-Stimmen
2017-00148;2017;4;Rendsburg-Eckernförde;BL-01;Organisation;BÜNDNIS 90/DIE GRÜNEN;13978
2017-00151;2017;4;Rendsburg-Eckernförde;BL-01;Organisation;Alternative für Deutschland;10656
2017-00193;2017;5;Kiel;BL-01;Organisation;Sozialdemokratische Partei Deutschlands;46991
2017-00197;2017;5;Kiel;BL-01;Organisation;Freie Demokratische Partei;11363
2017-00194;2017;5;Kiel;BL-01;Organisation;DIE LINKE;11114
2017-00196;2017;5;Kiel;BL-01;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00192;2017;5;Kiel;BL-01;Organisation;Christlich Demokratische Union Deutschlands;46560
2017-00195;2017;5;Kiel;BL-01;Organisation;BÜNDNIS 90/DIE GRÜNEN;21743
2017-00198;2017;5;Kiel;BL-01;Organisation;Alternative für Deutschland;9283
2017-00240;2017;6;Plön – Neumünster;BL-01;Organisation;Sozialdemokratische Partei Deutschlands;37728
2017-00244;2017;6;Plön – Neumünster;BL-01;Organisation;Freie Demokratische Partei;9379
2017-00241;2017;6;Plön – Neumünster;BL-01;Organisation;DIE LINKE;7009
2017-00243;2017;6;Plön – Neumünster;BL-01;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00239;2017;6;Plön – Neumünster;BL-01;Organisation;Christlich Demokratische Union Deutschlands;53109
2017-00242;2017;6;Plön – Neumünster;BL-01;Organisation;BÜNDNIS 90/DIE GRÜNEN;11736
2017-00245;2017;6;Plön – Neumünster;BL-01;Organisation;Alternative für Deutschland;10223
2017-00287;2017;7;Pinneberg;BL-01;Organisation;Sozialdemokratische Partei Deutschlands;56460
2017-00291;2017;7;Pinneberg;BL-01;Organisation;Freie Demokratische Partei;14441
2017-00288;2017;7;Pinneberg;BL-01;Organisation;DIE LINKE;11270
2017-00290;2017;7;Pinneberg;BL-01;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00286;2017;7;Pinneberg;BL-01;Organisation;Christlich Demokratische Union Deutschlands;73816
2017-00289;2017;7;Pinneberg;BL-01;Organisation;BÜNDNIS 90/DIE GRÜNEN;15379
2017-00292;2017;7;Pinneberg;BL-01;Organisation;Alternative für Deutschland;14729
2017-00334;2017;8;Segeberg – Stormarn-Mitte;BL-01;Organisation;Sozialdemokratische Partei Deutschlands;52434
2017-00338;2017;8;Segeberg – Stormarn-Mitte;BL-01;Organisation;Freie Demokratische Partei;15617
2017-00335;2017;8;Segeberg – Stormarn-Mitte;BL-01;Organisation;DIE LINKE;10838
2017-00337;2017;8;Segeberg – Stormarn-Mitte;BL-01;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00333;2017;8;Segeberg – Stormarn-Mitte;BL-01;Organisation;Christlich Demokratische Union Deutschlands;78824
2017-00336;2017;8;Segeberg – Stormarn-Mitte;BL-01;Organisation;BÜNDNIS 90/DIE GRÜNEN;16004
2017-00339;2017;8;Segeberg – Stormarn-Mitte;BL-01;Organisation;Alternative für Deutschland;15682
2017-00381;2017;9;Ostholstein – Stormarn-Nord;BL-01;Organisation;Sozialdemokratische Partei Deutschlands;42232
2017-00385;2017;9;Ostholstein – Stormarn-Nord;BL-01;Organisation;Freie Demokratische Partei;10047
2017-00382;2017;9;Ostholstein – Stormarn-Nord;BL-01;Organisation;DIE LINKE;6062
2017-00384;2017;9;Ostholstein – Stormarn-Nord;BL-01;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00380;2017;9;Ostholstein – Stormarn-Nord;BL-01;Organisation;Christlich Demokratische Union Deutschlands;56996
2017-00383;2017;9;Ostholstein – Stormarn-Nord;BL-01;Organisation;BÜNDNIS 90/DIE GRÜNEN;9539
2017-00386;2017;9;Ostholstein – Stormarn-Nord;BL-01;Organisation;Alternative für Deutschland;10790
2017-00428;2017;10;Herzogtum Lauenburg – Stormarn-Süd;BL-01;Organisation;Sozialdemokratische Partei Deutschlands;52171
2017-00432;2017;10;Herzogtum Lauenburg – Stormarn-Süd;BL-01;Organisation;Freie Demokratische Partei;15775
2017-00429;2017;10;Herzogtum Lauenburg – Stormarn-Süd;BL-01;Organisation;DIE LINKE;9785
2017-00431;2017;10;Herzogtum Lauenburg – Stormarn-Süd;BL-01;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00427;2017;10;Herzogtum Lauenburg – Stormarn-Süd;BL-01;Organisation;Christlich Demokratische Union Deutschlands;75737
2017-00430;2017;10;Herzogtum Lauenburg – Stormarn-Süd;BL-01;Organisation;BÜNDNIS 90/DIE GRÜNEN;18688
2017-00433;2017;10;Herzogtum Lauenburg – Stormarn-Süd;BL-01;Organisation;Alternative für Deutschland;17435
2017-00475;2017;11;Lübeck;BL-01;Organisation;Sozialdemokratische Partei Deutschlands;43578
2017-00479;2017;11;Lübeck;BL-01;Organisation;Freie Demokratische Partei;8312
2017-00476;2017;11;Lübeck;BL-01;Organisation;DIE LINKE;0
2017-00478;2017;11;Lübeck;BL-01;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00474;2017;11;Lübeck;BL-01;Organisation;Christlich Demokratische Union Deutschlands;45432
2017-00477;2017;11;Lübeck;BL-01;Organisation;BÜNDNIS 90/DIE GRÜNEN;16785
2017-00480;2017;11;Lübeck;BL-01;Organisation;Alternative für Deutschland;11137
2017-00569;2017;12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;BL-13;Organisation;Sozialdemokratische Partei Deutschlands;34267
2017-00573;2017;12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;BL-13;Organisation;Freie Demokratische Partei;7470
2017-00570;2017;12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;BL-13;Organisation;DIE LINKE;26655
2017-00572;2017;12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;BL-13;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00568;2017;12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;BL-13;Organisation;Christlich Demokratische Union Deutschlands;49733
2017-00571;2017;12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;BL-13;Organisation;BÜNDNIS 90/DIE GRÜNEN;5837
2017-00574;2017;12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;BL-13;Organisation;Alternative für Deutschland;24764
2017-00616;2017;13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;BL-13;Organisation;Sozialdemokratische Partei Deutschlands;34705
2017-00620;2017;13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;BL-13;Organisation;Freie Demokratische Partei;8290
2017-00617;2017;13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;BL-13;Organisation;DIE LINKE;23433
2017-00619;2017;13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;BL-13;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00615;2017;13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;BL-13;Organisation;Christlich Demokratische Union Deutschlands;43453
2017-00618;2017;13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;BL-13;Organisation;BÜNDNIS 90/DIE GRÜNEN;5858
2017-00621;2017;13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;BL-13;Organisation;Alternative für Deutschland;25262
2017-00663;2017;14;Rostock – Landkreis Rostock II;BL-13;Organisation;Sozialdemokratische Partei Deutschlands;29056
2017-00667;2017;14;Rostock – Landkreis Rostock II;BL-13;Organisation;Freie Demokratische Partei;7368
2017-00664;2017;14;Rostock – Landkreis Rostock II;BL-13;Organisation;DIE LINKE;40202
2017-00666;2017;14;Rostock – Landkreis Rostock II;BL-13;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00662;2017;14;Rostock – Landkreis Rostock II;BL-13;Organisation;Christlich Demokratische Union Deutschlands;47923
2017-00665;2017;14;Rostock – Landkreis Rostock II;BL-13;Organisation;BÜNDNIS 90/DIE GRÜNEN;8333
2017-00668;2017;14;Rostock – Landkreis Rostock II;BL-13;Organisation;Alternative für Deutschland;23785
2017-00710;2017;15;Vorpommern-Rügen – Vorpommern-Greifswald I;BL-13;Organisation;Sozialdemokratische Partei Deutschlands;19515
2017-00714;2017;15;Vorpommern-Rügen – Vorpommern-Greifswald I;BL-13;Organisation;Freie Demokratische Partei;5229
2017-00711;2017;15;Vorpommern-Rügen – Vorpommern-Greifswald I;BL-13;Organisation;DIE LINKE;26650
2017-00713;2017;15;Vorpommern-Rügen – Vorpommern-Greifswald I;BL-13;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00709;2017;15;Vorpommern-Rügen – Vorpommern-Greifswald I;BL-13;Organisation;Christlich Demokratische Union Deutschlands;73746
2017-00712;2017;15;Vorpommern-Rügen – Vorpommern-Greifswald I;BL-13;Organisation;BÜNDNIS 90/DIE GRÜNEN;5081
2017-00715;2017;15;Vorpommern-Rügen – Vorpommern-Greifswald I;BL-13;Organisation;Alternative für Deutschland;32173
2017-00757;2017;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;BL-13;Organisation;Sozialdemokratische Partei Deutschlands;21493
2017-00761;2017;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;BL-13;Organisation;Freie Demokratische Partei;8909
2017-00758;2017;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;BL-13;Organisation;DIE LINKE;29462
2017-00760;2017;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;BL-13;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00756;2017;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;BL-13;Organisation;Christlich Demokratische Union Deutschlands;48269
2017-00759;2017;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;BL-13;Organisation;BÜNDNIS 90/DIE GRÜNEN;3898
2017-00762;2017;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;BL-13;Organisation;Alternative für Deutschland;36273
2017-00804;2017;17;Mecklenburgische Seenplatte II – Landkreis Rostock III;BL-13;Organisation;Sozialdemokratische Partei Deutschlands;22401
2017-00808;2017;17;Mecklenburgische Seenplatte II – Landkreis Rostock III;BL-13;Organisation;Freie Demokratische Partei;6633
2017-00805;2017;17;Mecklenburgische Seenplatte II – Landkreis Rostock III;BL-13;Organisation;DIE LINKE;24728
2017-00807;2017;17;Mecklenburgische Seenplatte II – Landkreis Rostock III;BL-13;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00803;2017;17;Mecklenburgische Seenplatte II – Landkreis Rostock III;BL-13;Organisation;Christlich Demokratische Union Deutschlands;53538
2017-00806;2017;17;Mecklenburgische Seenplatte II – Landkreis Rostock III;BL-13;Organisation;BÜNDNIS 90/DIE GRÜNEN;4739
2017-00809;2017;17;Mecklenburgische Seenplatte II – Landkreis Rostock III;BL-13;Organisation;Alternative für Deutschland;26199
2017-00898;2017;18;Hamburg-Mitte;BL-02;Organisation;Sozialdemokratische Partei Deutschlands;53795
2017-00902;2017;18;Hamburg-Mitte;BL-02;Organisation;Freie Demokratische Partei;11202
2017-00899;2017;18;Hamburg-Mitte;BL-02;Organisation;DIE LINKE;24083
2017-00901;2017;18;Hamburg-Mitte;BL-02;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00897;2017;18;Hamburg-Mitte;BL-02;Organisation;Christlich Demokratische Union Deutschlands;42149
2017-00900;2017;18;Hamburg-Mitte;BL-02;Organisation;BÜNDNIS 90/DIE GRÜNEN;22368
2017-00903;2017;18;Hamburg-Mitte;BL-02;Organisation;Alternative für Deutschland;12728
2017-00945;2017;19;Hamburg-Altona;BL-02;Organisation;Sozialdemokratische Partei Deutschlands;41947
2017-00949;2017;19;Hamburg-Altona;BL-02;Organisation;Freie Demokratische Partei;12482
2017-00946;2017;19;Hamburg-Altona;BL-02;Organisation;DIE LINKE;19704
2017-00948;2017;19;Hamburg-Altona;BL-02;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00944;2017;19;Hamburg-Altona;BL-02;Organisation;Christlich Demokratische Union Deutschlands;37575
2017-00947;2017;19;Hamburg-Altona;BL-02;Organisation;BÜNDNIS 90/DIE GRÜNEN;20817
2017-00950;2017;19;Hamburg-Altona;BL-02;Organisation;Alternative für Deutschland;7425
2017-00992;2017;20;Hamburg-Eimsbüttel;BL-02;Organisation;Sozialdemokratische Partei Deutschlands;48920
2017-00996;2017;20;Hamburg-Eimsbüttel;BL-02;Organisation;Freie Demokratische Partei;10537
2017-00993;2017;20;Hamburg-Eimsbüttel;BL-02;Organisation;DIE LINKE;16123
2017-00995;2017;20;Hamburg-Eimsbüttel;BL-02;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-00991;2017;20;Hamburg-Eimsbüttel;BL-02;Organisation;Christlich Demokratische Union Deutschlands;44416
2017-00994;2017;20;Hamburg-Eimsbüttel;BL-02;Organisation;BÜNDNIS 90/DIE GRÜNEN;23220
2017-00997;2017;20;Hamburg-Eimsbüttel;BL-02;Organisation;Alternative für Deutschland;8777
2017-01039;2017;21;Hamburg-Nord;BL-02;Organisation;Sozialdemokratische Partei Deutschlands;54695
2017-01043;2017;21;Hamburg-Nord;BL-02;Organisation;Freie Demokratische Partei;14911
2017-01040;2017;21;Hamburg-Nord;BL-02;Organisation;DIE LINKE;13277
2017-01042;2017;21;Hamburg-Nord;BL-02;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01038;2017;21;Hamburg-Nord;BL-02;Organisation;Christlich Demokratische Union Deutschlands;59441
2017-01041;2017;21;Hamburg-Nord;BL-02;Organisation;BÜNDNIS 90/DIE GRÜNEN;24065
2017-01044;2017;21;Hamburg-Nord;BL-02;Organisation;Alternative für Deutschland;9701
2017-01086;2017;22;Hamburg-Wandsbek;BL-02;Organisation;Sozialdemokratische Partei Deutschlands;59086
2017-01090;2017;22;Hamburg-Wandsbek;BL-02;Organisation;Freie Demokratische Partei;12007
2017-01087;2017;22;Hamburg-Wandsbek;BL-02;Organisation;DIE LINKE;15673
2017-01089;2017;22;Hamburg-Wandsbek;BL-02;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01085;2017;22;Hamburg-Wandsbek;BL-02;Organisation;Christlich Demokratische Union Deutschlands;50822
2017-01088;2017;22;Hamburg-Wandsbek;BL-02;Organisation;BÜNDNIS 90/DIE GRÜNEN;12112
2017-01091;2017;22;Hamburg-Wandsbek;BL-02;Organisation;Alternative für Deutschland;16208
2017-01133;2017;23;Hamburg-Bergedorf – Harburg;BL-02;Organisation;Sozialdemokratische Partei Deutschlands;53446
2017-01137;2017;23;Hamburg-Bergedorf – Harburg;BL-02;Organisation;Freie Demokratische Partei;8039
2017-01134;2017;23;Hamburg-Bergedorf – Harburg;BL-02;Organisation;DIE LINKE;16382
2017-01136;2017;23;Hamburg-Bergedorf – Harburg;BL-02;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01132;2017;23;Hamburg-Bergedorf – Harburg;BL-02;Organisation;Christlich Demokratische Union Deutschlands;43274
2017-01135;2017;23;Hamburg-Bergedorf – Harburg;BL-02;Organisation;BÜNDNIS 90/DIE GRÜNEN;11903
2017-01138;2017;23;Hamburg-Bergedorf – Harburg;BL-02;Organisation;Alternative für Deutschland;16688
2017-01227;2017;24;Aurich – Emden;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;69231
2017-01231;2017;24;Aurich – Emden;BL-03;Organisation;Freie Demokratische Partei;6882
2017-01228;2017;24;Aurich – Emden;BL-03;Organisation;DIE LINKE;9403
2017-01230;2017;24;Aurich – Emden;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01226;2017;24;Aurich – Emden;BL-03;Organisation;Christlich Demokratische Union Deutschlands;38531
2017-01229;2017;24;Aurich – Emden;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;9787
2017-01232;2017;24;Aurich – Emden;BL-03;Organisation;Alternative für Deutschland;0
2017-01274;2017;25;Unterems;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;48959
2017-01278;2017;25;Unterems;BL-03;Organisation;Freie Demokratische Partei;7758
2017-01275;2017;25;Unterems;BL-03;Organisation;DIE LINKE;7726
2017-01277;2017;25;Unterems;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01273;2017;25;Unterems;BL-03;Organisation;Christlich Demokratische Union Deutschlands;87406
2017-01276;2017;25;Unterems;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;8255
2017-01279;2017;25;Unterems;BL-03;Organisation;Alternative für Deutschland;13387
2017-01321;2017;26;Friesland – Wilhelmshaven – Wittmund;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;54504
2017-01325;2017;26;Friesland – Wilhelmshaven – Wittmund;BL-03;Organisation;Freie Demokratische Partei;8074
2017-01322;2017;26;Friesland – Wilhelmshaven – Wittmund;BL-03;Organisation;DIE LINKE;8127
2017-01324;2017;26;Friesland – Wilhelmshaven – Wittmund;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01320;2017;26;Friesland – Wilhelmshaven – Wittmund;BL-03;Organisation;Christlich Demokratische Union Deutschlands;44537
2017-01323;2017;26;Friesland – Wilhelmshaven – Wittmund;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;7542
2017-01326;2017;26;Friesland – Wilhelmshaven – Wittmund;BL-03;Organisation;Alternative für Deutschland;11392
2017-01368;2017;27;Oldenburg – Ammerland;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;63235
2017-01372;2017;27;Oldenburg – Ammerland;BL-03;Organisation;Freie Demokratische Partei;10635
2017-01369;2017;27;Oldenburg – Ammerland;BL-03;Organisation;DIE LINKE;14081
2017-01371;2017;27;Oldenburg – Ammerland;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01367;2017;27;Oldenburg – Ammerland;BL-03;Organisation;Christlich Demokratische Union Deutschlands;52598
2017-01370;2017;27;Oldenburg – Ammerland;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;19827
2017-01373;2017;27;Oldenburg – Ammerland;BL-03;Organisation;Alternative für Deutschland;11592
2017-01415;2017;28;Delmenhorst – Wesermarsch – Oldenburg-Land;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;55326
2017-01419;2017;28;Delmenhorst – Wesermarsch – Oldenburg-Land;BL-03;Organisation;Freie Demokratische Partei;15208
2017-01416;2017;28;Delmenhorst – Wesermarsch – Oldenburg-Land;BL-03;Organisation;DIE LINKE;10262
2017-01418;2017;28;Delmenhorst – Wesermarsch – Oldenburg-Land;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01414;2017;28;Delmenhorst – Wesermarsch – Oldenburg-Land;BL-03;Organisation;Christlich Demokratische Union Deutschlands;57390
2017-01417;2017;28;Delmenhorst – Wesermarsch – Oldenburg-Land;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;12933
2017-01420;2017;28;Delmenhorst – Wesermarsch – Oldenburg-Land;BL-03;Organisation;Alternative für Deutschland;15122
2017-01462;2017;29;Cuxhaven – Stade II;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;43077
2017-01466;2017;29;Cuxhaven – Stade II;BL-03;Organisation;Freie Demokratische Partei;6984
2017-01463;2017;29;Cuxhaven – Stade II;BL-03;Organisation;DIE LINKE;8121
2017-01465;2017;29;Cuxhaven – Stade II;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01461;2017;29;Cuxhaven – Stade II;BL-03;Organisation;Christlich Demokratische Union Deutschlands;59930
2017-01464;2017;29;Cuxhaven – Stade II;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;8491
2017-01467;2017;29;Cuxhaven – Stade II;BL-03;Organisation;Alternative für Deutschland;11862
2017-01509;2017;30;Stade I – Rotenburg II;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;42829
2017-01513;2017;30;Stade I – Rotenburg II;BL-03;Organisation;Freie Demokratische Partei;8797
2017-01510;2017;30;Stade I – Rotenburg II;BL-03;Organisation;DIE LINKE;7994
2017-01512;2017;30;Stade I – Rotenburg II;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01508;2017;30;Stade I – Rotenburg II;BL-03;Organisation;Christlich Demokratische Union Deutschlands;67463
2017-01511;2017;30;Stade I – Rotenburg II;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;10613
2017-01514;2017;30;Stade I – Rotenburg II;BL-03;Organisation;Alternative für Deutschland;12590
2017-01556;2017;31;Mittelems;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;47107
2017-01560;2017;31;Mittelems;BL-03;Organisation;Freie Demokratische Partei;10089
2017-01557;2017;31;Mittelems;BL-03;Organisation;DIE LINKE;6813
2017-01559;2017;31;Mittelems;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01555;2017;31;Mittelems;BL-03;Organisation;Christlich Demokratische Union Deutschlands;95815
2017-01558;2017;31;Mittelems;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;8900
2017-01561;2017;31;Mittelems;BL-03;Organisation;Alternative für Deutschland;8949
2017-01603;2017;32;Cloppenburg – Vechta;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;32997
2017-01607;2017;32;Cloppenburg – Vechta;BL-03;Organisation;Freie Demokratische Partei;8306
2017-01604;2017;32;Cloppenburg – Vechta;BL-03;Organisation;DIE LINKE;6640
2017-01606;2017;32;Cloppenburg – Vechta;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01602;2017;32;Cloppenburg – Vechta;BL-03;Organisation;Christlich Demokratische Union Deutschlands;93545
2017-01605;2017;32;Cloppenburg – Vechta;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;7034
2017-01608;2017;32;Cloppenburg – Vechta;BL-03;Organisation;Alternative für Deutschland;12683
2017-01650;2017;33;Diepholz – Nienburg I;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;40102
2017-01654;2017;33;Diepholz – Nienburg I;BL-03;Organisation;Freie Demokratische Partei;10285
2017-01651;2017;33;Diepholz – Nienburg I;BL-03;Organisation;DIE LINKE;7759
2017-01653;2017;33;Diepholz – Nienburg I;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01649;2017;33;Diepholz – Nienburg I;BL-03;Organisation;Christlich Demokratische Union Deutschlands;65465
2017-01652;2017;33;Diepholz – Nienburg I;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;11252
2017-01655;2017;33;Diepholz – Nienburg I;BL-03;Organisation;Alternative für Deutschland;11955
2017-01697;2017;34;Osterholz – Verden;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;48505
2017-01701;2017;34;Osterholz – Verden;BL-03;Organisation;Freie Demokratische Partei;8273
2017-01698;2017;34;Osterholz – Verden;BL-03;Organisation;DIE LINKE;10714
2017-01700;2017;34;Osterholz – Verden;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01696;2017;34;Osterholz – Verden;BL-03;Organisation;Christlich Demokratische Union Deutschlands;59560
2017-01699;2017;34;Osterholz – Verden;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;10146
2017-01702;2017;34;Osterholz – Verden;BL-03;Organisation;Alternative für Deutschland;12995
2017-01744;2017;35;Rotenburg I – Heidekreis;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;51938
2017-01748;2017;35;Rotenburg I – Heidekreis;BL-03;Organisation;Freie Demokratische Partei;5659
2017-01745;2017;35;Rotenburg I – Heidekreis;BL-03;Organisation;DIE LINKE;5219
2017-01747;2017;35;Rotenburg I – Heidekreis;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01743;2017;35;Rotenburg I – Heidekreis;BL-03;Organisation;Christlich Demokratische Union Deutschlands;45510
2017-01746;2017;35;Rotenburg I – Heidekreis;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;6053
2017-01749;2017;35;Rotenburg I – Heidekreis;BL-03;Organisation;Alternative für Deutschland;10331
2017-01791;2017;36;Harburg;BL-03;Organisation;Sozialdemokratische Partei Deutschlands;44017
2017-01795;2017;36;Harburg;BL-03;Organisation;Freie Demokratische Partei;10458
2017-01792;2017;36;Harburg;BL-03;Organisation;DIE LINKE;8638
2017-01794;2017;36;Harburg;BL-03;Organisation;Christlich-Soziale Union in Bayern e.V.;0
2017-01790;2017;36;Harburg;BL-03;Organisation;Christlich Demokratische Union Deutschlands;65223
2017-01793;2017;36;Harburg;BL-03;Organisation;BÜNDNIS 90/DIE GRÜNEN;14565
